Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,112.68948319358361,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,113.32781406783388,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,113.9655434582556,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,114.6020316888264,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,115.15737190358597,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,115.79149811438435,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,116.42527219818426,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,117.0582255311234,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,117.69326291851878,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,118.3206953762523,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,118.87156044887011,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,119.49667130706885,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,120.1244388317023,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,120.75184582926752,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,121.29371395946718,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,121.91876693468099,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,122.54297775811996,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,123.16614062640814,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,123.7884427633575,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,124.32406418120992,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,124.94413434335445,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,125.56381353780019,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,126.18234597721936,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,126.80002781296386,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,127.32930543491223,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,127.94462818768639,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,128.55983629992542,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,129.17347028783308,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,129.78686884044626,1
